date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-01-15,0,24.0,1.0,16.0,1.0,11.0,0,14.0,4.0,18.0,3.0
2020-01-16,0,24.5,1.0,19.0,0.5,9.0,0,20.0,2.5,16.5,2.0
2020-01-17,0,24.5,1.0,19.0,0.5,9.0,0,20.0,2.5,16.5,2.0
2020-01-18,0,24.5,1.0,19.0,0.5,9.0,0,20.0,2.5,16.5,2.0
2020-01-19,0,25.0,0,22.0,0.0,7.0,0,26.0,1.0,15.0,1.0
2020-01-20,0,20.433333333333334,1.0,18.933333333333334,0.8333333333333334,8.0,0,24.666666666666668,2.3333333333333335,15.166666666666666,2.433333333333333
2020-01-21,0,20.433333333333334,1.0,18.933333333333334,0.8333333333333334,8.0,0,24.666666666666668,2.3333333333333335,15.166666666666666,2.433333333333333
2020-01-22,0,20.433333333333334,1.0,18.933333333333334,0.8333333333333334,8.0,0,24.666666666666668,2.3333333333333335,15.166666666666666,2.433333333333333
2020-01-23,0,20.75714285714286,1.0,16.82857142857143,1.6428571428571428,9.142857142857142,0,24.0,3.142857142857143,14.785714285714286,3.3285714285714287
2020-01-24,0,20.66,1.0,15.559999999999999,2.1,9.8,0,23.4,3.6,14.7,3.8600000000000003
2020-01-25,0,20.66,1.0,15.559999999999999,2.1,9.8,0,23.4,3.6,14.7,3.8600000000000003
2020-01-26,0,19.716666666666665,1.0,15.466666666666667,2.0833333333333335,9.5,0,24.166666666666668,3.3333333333333335,15.75,4.05
2020-01-27,0,18.075,1.0,16.2,1.625,9.5,0,24.0,3.25,17.625,4.075
2020-01-28,0,16.433333333333334,1.0,16.933333333333334,2.1666666666666665,9.333333333333334,0,22.666666666666668,2.6666666666666665,17.166666666666668,3.1
2020-01-29,0,16.433333333333334,1.0,16.933333333333334,2.1666666666666665,9.333333333333334,0,22.666666666666668,2.6666666666666665,17.166666666666668,3.1
2020-01-30,0,17.15,1.0,17.9,2.25,10.0,0,20.0,3.0,15.25,2.15
2020-01-31,0,20.15,1.0,15.9,1.25,10.0,0,25.5,3.5,14.75,4.15
2020-02-01,0,20.15,1.0,15.9,1.25,10.0,0,25.5,3.5,14.75,4.15
2020-02-02,0,20.15,1.0,15.9,1.25,10.0,0,25.5,3.5,14.75,4.15
